,city,classification,code_info,country,distribution_pattern,event_id,initial_firm_notification,postal_code,product_description,product_type,reason_for_recall,recall_initiation_date,recall_number,recalling_firm,state,status,termination_date,duration,listeria,salmonella,allergen/undeclared,salad/slaw,peanut,butter,milk,ice-cream
5,Mamaroneck,Class I,refrigerated ready-to-eat sliced cold smoked pastrami smoked salmon hand sliced packs in 4 oz 8 oz & whole sides in vacuum packages -- keep refrigerated  store at 38 degrees f or below --- the smokehouse of ny  mamaroneck ny 10543,United States,ny nj ct il al mn mt,76952,press release,10543-2232,lots 82 through 96 (listed on back of packaging) and sell by dates of  04/5-19/17,Food,the products have the potential to be contaminated with listeria monocytogenes based on fda sampling and analysis  during an fda inspection an environmental sample (973983) was collected and submitted to nrl for analysis  nrl's analysis revealed 37 out of 99 subs were positive for l monocytogenes including both zone 1 and zone 2 locations,2017-04-07,F-2257-2017,the smokehouse of new york llc,NY,Ongoing,,,1,0,0,0,0,0,0,0
6,Camden,Class I,nor-tech dairy  mozz/muenster/prov feather shred  shredded cheese 5 lb packages packed in plastic bags keep refrigerated,United States,domestic: michigan indiana illinois ohiopennsylvania south dakota,75426,telephone,49232-9010, best used by: 12-05-2016,Food,kuster's inc is voluntarily recalling its shredded sliced and cubed cheese following a supplier's recall of cheese due to the potential for the cheese to be contaminated with listeria monocytogenes or inadequately pasteurized ,2016-10-10,F-0439-2017,kuster's inc,MI,Ongoing,,,1,0,0,0,0,0,0,0
17,Phoenix,Class I,fresh frozen chopped vidalia onions & squash net wt 32 oz (2 lb) 907g dist by fresh frozen foods inc jefferson ga 30549 upc 0-86069-20510-5,United States,al ar az ca fl ga il in ks ky la md ma mi mn ms mo mt ne nj ny nc oh ok pa sc tn tx vt va wi and wv,71070,two or more of the following: email fax letter press release telephone visit,85054-5484, upc 0-86069-20510-5 ff item number 531,Food,listeria contamination due to various gmp violations possible,2015-04-23,F-3008-2015,inventure foods,AZ,Ongoing,,,1,0,0,0,0,0,0,0
22,Brenham,Class I,blue bell ice cream blueberry cheesecake still a 1/2 gal (2 qts),United States,fl ga sc nc va oh ky tn al ms in il mt ar la tx ok ks nm co wy az nv and bermuda belize saudia arabia yemen oman uae qatar egypt jordan kuwait dominican republic panama turks and caicos haiti trinadad and tobago puerto rico chile peru china mexico philippines tortola st thomas and st croix anguilla st kitts and nevis montserrat and dominica,70738,two or more of the following: email fax letter press release telephone visit,77833-4413, all lot codes within expiry,Food,five patients who were treated in a single hospital in kansas were infected with one of four rare strains of listeria monocytogenes,2015-03-13,F-2543-2015,blue bell creameries lp,TX,Ongoing,,,1,0,0,0,0,0,0,0
30,Gardena,Class I,integrated food service  low sodium reduced fat   chili cheese dog  chicken hot dog with chili & cheese on a whole grain hot dog bun  code #c95200/952000  ,United States,us distribution nationwide     no foreign distribution,74243,letter,90248-2423, lot #040115-050616,Food,potential listeria monocytogenes contamination,2016-05-23,F-1911-2016,let's do lunch inc,CA,Ongoing,,,1,0,0,0,0,0,0,0
36,San Antonio,Class I,wildway coconut cashew grain-free granola 8 oz and 10 oz upc: 858660005183 packaged in a plastic bag,United States,nationwide throughout the us,77552,two or more of the following: email fax letter press release telephone visit,78217-4426,lots: 090 096 101,Food,potential to be contaminated with listeria monocytogenes,2017-06-14,F-2541-2017,wildway llc,TX,Ongoing,,,1,0,0,0,0,0,0,0
38,Green Bay,Class I,blain's farm & fleet sportsman's mix 175oz (50 g) upc 034952818956 item # 670554  10/19/16 2/21/16 7/1/16 8/10/16 4/16/16  blain's farm & fleet sportsman's mix  7 -175oz upc # 34952850871 item # 698712 : 2/5/16 3/8/16 4/7/16 4/17/16 7/6/16 8/3/16    blain's farm & fleet sportsman mix 12 oz (340 g) upc 034952814460 item # 648212  9/23/16 12/1/16 12/1/16 12/24/16 1/25/17 6/15/16 7/14/16 2/7/16 3/4/16  8/10/16 4/17/16 4/21/16 5/26/16    blain's farm & fleet sportsman mix jar 38 oz 2 lbs 2 oz (1077 g) upc 034952820386 item # 68768  12/17/16 12/23/16 2/9/17 2/16/17 4/7/16 2/5/16 3/24/16    bulk - sportsman mix 25#	413674    eillien's sportsman mix  22 oz	 1 lb 6 oz ( 624 g) upc 034952577365 item # 306753  10/25/16 12/7/16 1/18/17 1/18/17 5/18/16 7/13/16 7/1/16 4/23/16 6/14/16  2/12/16 3/26/16 2/29/16 5/4/16 5/25/16 7/29/16 7/29/16 9/3/16 9/21/16  item # 414458: 7/13/16    eillien's sportsman mix 4 oz (113 g) upc  034952575705 item # 800195  11/23/16 11/23/16 6/21/16 6/21/16 3/17/16 9/8/16    eillien's sportsman mix tray      15 oz upc 034952572926 item #204560  6/29/16 7/21/16 8/18/16 9/2/16 9/18/16 10/12/16 10/26/16 11/11/16 11/5/15  12/30/15 4/14/16 2/11/16 4/28/16 12/4/15 6/4/16 2/24/16 11/14/15 1/13/16  1/16/16 5/25/16    holiday snacktime sportsman mix  11 oz (312 g) upc 041282995318 item# 130443  10/27/16 12/14/16 12/31/16 1/19/17 1/25/17 5/28/16 2/12/16 3/5/16 3/3/16  2/29/16 7/19/16 4/27/16 2/6/16 3/18/16      mill's fleet farm sportsman mix        24 oz  1 lb 8 oz(680 g) upc 034952362763 item # 696831  10/13/16 11/15/16 12/21/16 1/21/17 7/9/16 4/1/16 2/1/16 4/23/16 2/12/16  9/14/16 3/3/16 7/29/16 5/7/16 4/13/16 3/2/16 6/2/16 6/16/16 7/12/16 9/9/16    mill's fleet farm sportsman mix       32 oz 2 lbs  (907 g) upc 034952361766 item # 678318  10/20/16 10/20/16 11/17/16 12/28/16 1/25/17 2/13/17 2/5/16 3/30/16 7/14/16  6/25/16 3/4/16 5/13/16 6/17/16 2/12/16 6/28/16 6/28/16 4/27/16 3/29/16  4/21/16 3/1/16    mill's fleet farm sportsman mix      425oz (120 g) upc 034952363692 item # 700914  12/2/16 1/18/17 8/18/16 3/4/16 6/11/16 2/1/16 4/23/16 6/14/16    mill's fleet farm sportsman's mix 1 oz	611179 item # 611179  4/27/16    piggly wiggly sportsman mix         22 oz 1 lb 6 oz (624 g) upc 034952580990 item #416941  9/23/16 1/27/17 3/9/16  item # 686352: 9/23/16 1/18/17 1/27/17 7/1/16 8/10/16 2/29/16 5/4/163/9/16    piggly wiggly sportsman mix tray    15 oz (425 g) upc 034952574210 item # 669846  8/11/16 8/24/16 9/18/16 9/18/16 10/18/16 11/12/16 1/7/16 11/28/15 12/30/15  5/6/16 1/28/16 2/4/16 2/5/16 4/5/16 11/8/15 6/18/16 5/25/16 12/10/15    royal pouch bag sportsman mix 11 oz (312 g) upc 034952571288 item # 119362  11/11/16 12/17/16 12/28/16 2/3/17 2/17/17 2/5/16 8/11/16 4/1/16 5/5/16  2/14/16 9/9/16 3/10/16 3/18/16 6/18/16    runnings 32 oz 2 lbs (907 g) sportsman mix upc 034952581621 item # 127068  12/21/16 2/13/17 7/14/16 5/13/16 3/5/16    rural king sportsman mix 22 oz 1 lb 6 oz (624 g) upc 034952584813 item # 604403  11/15/16 5/18/16 2/12/16 7/5/16 8/5/16    shoppers valu sportsman mix 225oz (64 g) upc 041130286704 item# 134122  8/16/16 2/4/17    super america sportsman's mix 11 oz ( 312 )  upc 034952585377 item# 131813  10/25/16 12/1/16 12/8/16 3/26/16 8/30/16    trigs 16 oz 1 lb ( 454 g) sportsman mix upc 034952583397 item # 694539  4/7/16  ,United States,il ia mi mn ny nd ok sd tx wi,74387,letter,54304-5655, best  by date: 10/19/16 2/21/16 7/1/16 8/10/16 4/16/16  2/5/16 3/8/16 4/7/16 4/17/16 7/6/16 8/3/16  9/23/16 12/1/16 12/1/16 12/24/16 1/25/17 6/15/16 7/14/16 2/7/16 3/4/16  8/10/16 4/17/16 4/21/16 5/26/16    12/17/16 12/23/16 2/9/17 2/16/17 4/7/16 2/5/16 3/24/16    10/25/16 12/7/16 1/18/17 1/18/17 5/18/16 7/13/16 7/1/16 4/23/16 6/14/16  2/12/16 3/26/16 2/29/16 5/4/16 5/25/16 7/29/16 7/29/16 9/3/16 9/21/16  414458: 7/13/16    eillien's sportsman mix 4 oz	034952575705 item # 800195  11/23/16 11/23/16 6/21/16 6/21/16 3/17/16 9/8/16      6/29/16 7/21/16 8/18/16 9/2/16 9/18/16 10/12/16 10/26/16 11/11/16 11/5/15  12/30/15 4/14/16 2/11/16 4/28/16 12/4/15 6/4/16 2/24/16 11/14/15 1/13/16  1/16/16 5/25/16    10/27/16 12/14/16 12/31/16 1/19/17 1/25/17 5/28/16 2/12/16 3/5/16 3/3/16  2/29/16 7/19/16 4/27/16 2/6/16 3/18/16      10/13/16 11/15/16 12/21/16 1/21/17 7/9/16 4/1/16 2/1/16 4/23/16 2/12/16  9/14/16 3/3/16 7/29/16 5/7/16 4/13/16 3/2/16 6/2/16 6/16/16 7/12/16 9/9/16    10/20/16 10/20/16 11/17/16 12/28/16 1/25/17 2/13/17 2/5/16 3/30/16 7/14/16  6/25/16 3/4/16 5/13/16 6/17/16 2/12/16 6/28/16 6/28/16 4/27/16 3/29/16  4/21/16 3/1/16    12/2/16 1/18/17 8/18/16 3/4/16 6/11/16 2/1/16 4/23/16 6/14/16    4/27/16    9/23/16 1/27/17 3/9/16  9/23/16 1/18/17 1/27/17 7/1/16 8/10/16 2/29/16 5/4/163/9/16    8/11/16 8/24/16 9/18/16 9/18/16 10/18/16 11/12/16 1/7/16 11/28/15 12/30/15  5/6/16 1/28/16 2/4/16 2/5/16 4/5/16 11/8/15 6/18/16 5/25/16 12/10/15    11/11/16 12/17/16 12/28/16 2/3/17 2/17/17 2/5/16 8/11/16 4/1/16 5/5/16  2/14/16 9/9/16 3/10/16 3/18/16 6/18/16    12/21/16 2/13/17 7/14/16 5/13/16 3/5/16    11/15/16 5/18/16 2/12/16 7/5/16 8/5/16    8/16/16 2/4/17    10/25/16 12/1/16 12/8/16 3/26/16 8/30/16    4/7/16  ,Food,eillien's candies was notified by sunopta an ingredient supplier that the sunflower kernels may be contaminated with listeria monocytogenes  in turn eillien's in recalling a number of products manufactured with roasted salted sunflower kernels and / or roasted unsalted sunflower kernels  there have been no reported illnesses to date,2016-05-23,F-2310-2016,eillien's candies inc,WI,Ongoing,,,1,0,0,0,0,0,0,0
53,Highland,Class I,almond whole roasted organic,United States,pa nh ny tx fl ma md ca co nj ga mn mi il oh az wi tn nc  british columbia,77335,telephone,12528-2332,lot: hg504800-09,Food,listeria monocytogenes found on food contact surfaces and non-food contact surfaces,2017-05-21,F-2836-2017,hvf inc dba huson valley farms,NY,Ongoing,,,1,0,0,0,0,0,0,0
57,Phoenix,Class I,frozen jamba all natural smoothies blue fusion blueberry banana apple blackberry carrot broccoli and spinach makes 2-8oz net wt 8oz (2272g) smoothies packed in plastic pouches distributed by: rader farms inc,United States,al ar az ca fl ga il in ks ky la md ma mi mn ms mo mt ne nj ny nc oh ok pa sc tn tx vt va wi and wv,71070,two or more of the following: email fax letter press release telephone visit,85054-5484, upc: 8-84038-85168-7 item no 85169 best by dates from 18 mar 2016 through 17 oct 2016 code dates from 72644ah01 through 71075ah01,Food,listeria contamination due to various gmp violations possible,2015-04-23,F-2984-2015,inventure foods,AZ,Ongoing,,,1,0,0,0,0,0,0,0
59,Oak Brook,Class I,upc 1373312032  meijer white choc chip pretzel bars best by/date code:  dec 09 16,United States,us: al az ar ca co ct fl il in ia ksky la me md ma mi mn  ms  mo ne nv nm ny ncnd oh ok or pasc tn tx ut va wa wi wy    ous: honduras nicaragua chile,74041,telephone,60523-1860, best by/date code: dec 09 16,Food,treehouse foods is recalling products that may be impacted by sunflower seeds  contaminated with listeria monocytogenes,2016-05-03,F-2419-2016,treehouse foods,IL,Ongoing,,,1,0,0,0,0,0,0,0
