status,state,city,recalling_firm,reason_for_recall,year
Terminated,CA,Chula Vista ,altiza inc,altiza is recalling malichita brand cucumbers because they may be contaminated with salmonella,2013
Terminated,OH,Columbus,tropical nut & fruit inc,the product is being recalled because it was manufactured using peanut products recalled by peanut corporation of america because it has the potential to be contaminated with salmonella,2009
Terminated,KY,Winchester,pro nutech inc,the recalling firm manufactured and distributed peanut products which contained peanuts and/or peanut butter which they received from there bulk peanut supplier peanut corporation of america (pca)  peanuts and peanut products produced by pca have been implicated in a recent outbreak of salmonellosis and these product may be contaminated with salmonella typhimurium,2009
Terminated,KY,Winchester,pro nutech inc,the recalling firm manufactured and distributed peanut products which contained peanuts and/or peanut butter which they received from there bulk peanut supplier peanut corporation of america (pca)  peanuts and peanut products produced by pca have been implicated in a recent outbreak of salmonellosis and these product may be contaminated with salmonella typhimurium,2009
Terminated,CA,Escondido,arctic zero inc,arctic zero inc is recalling their arctic zero frozen dessert products due to undeclared milk ,2012
Terminated,CA,Escondido,arctic zero inc,arctic zero inc is recalling their arctic zero frozen dessert products due to undeclared milk ,2012
Terminated,CA,Escondido,arctic zero inc,arctic zero inc is recalling their arctic zero frozen dessert products due to undeclared milk ,2012
Terminated,CA,Escondido,arctic zero inc,arctic zero inc is recalling their arctic zero frozen dessert products due to undeclared milk ,2012
Terminated,CA,Escondido,arctic zero inc,arctic zero inc is recalling their arctic zero frozen dessert products due to undeclared milk ,2012
Terminated,CA,Escondido,arctic zero inc,arctic zero inc is recalling their arctic zero frozen dessert products due to undeclared milk ,2012
Terminated,OH,Brooklyn,ba sweetie candy co,product is being recalled because it was manufactured using peanut products recalled by peanut corporation of america  the peanut products has the potential to be contaminated with salmonella,2009
Terminated,OH,Brooklyn,ba sweetie candy co,product is being recalled because it was manufactured using peanut products recalled by peanut corporation of america  the peanut products has the potential to be contaminated with salmonella,2009
Terminated,OH,Brooklyn,ba sweetie candy co,product is being recalled because it was manufactured using peanut products recalled by peanut corporation of america  the peanut products has the potential to be contaminated with salmonella,2009
Terminated,OH,Struthers,giannios candy co inc,this product is being recalled because it was manufactured using peanut butter recalled by peanut corporation of america because it has the potential to be contaminated with salmonella,2009
