course_name|professor|url|description|term|online|course_num
BIOS E-16 Cell Biology|Alison Marie Taylor|http://extension.harvard.edu/academics/courses/cell-biology/22958|This course cultivates an understanding of eukaryotic cellular and subcellular structure, with close attention to structure/function relationships that govern cellular processes at the molecular level. We examine the differences between several eukaryotic model systems, including fission and budding yeast, slime mold, plants, and mammalian cells in culture. We further discuss the specific experimental techniques amenable to the study of cell biology in each system and how discoveries made using model organisms have influenced modern cell biology.|Spring Term 2017|On campus only|22958
BIOS E-18 Evolution|Maria E. Miara|http://extension.harvard.edu/academics/courses/evolution/14330|Evolution is such a major tenet of modern biological theory that in 1973, evolutionary biologist Theodosius Dobzhansky penned that "nothing in biology makes sense except in the light of evolution." This course provides a comprehensive introduction to evolutionary biology. Students are introduced to both short-term and long-term evolutionary processes and they explore the patterns that result from those processes. Topics covered  include the history of evolutionary theory, evidence for evolution, the origin of life, the origin of animals and the Cambrian explosion, genetic evolution, natural selection, sexual selection, species and speciation, human evolution, and evolutionary issues in modern society.|Fall Term 2016|On campus with online option|14330
BIOS E-30 Epigenetics and Gene Regulation|Amy Tsurumi|http://extension.harvard.edu/academics/courses/epigenetics-gene-regulation/24705|This course is designed to introduce students to the concept of epigenetics and how it regulates gene expression and heritable phenotypes without changes in the underlying DNA sequence. The first phase is a thorough mechanistic overview with discussion topics including DNA methylation, histone modifications, chromatin remodeling, and non-coding RNAs, as well as the key players that regulate these processes. In the second phase, we cover molecular techniques and model organisms used commonly in epigenetics research. Finally, students apply their knowledge to understand the epigenetic basis of various developmental disorders, the natural aging process, environmental exposures, and relevant human diseases such as tumorigenesis, obesity, neurological disorders, and infections. Readings from recent primary literature/review articles, active class discussion, handouts, and visual materials are used and assignments include hands-on analyses exercises, a mock research proposal, and a final research project.|Spring Term 2017|On campus only|24705
BIOS E-40 Introduction to Proteomics|Alain Viel|http://extension.harvard.edu/academics/courses/introduction-proteomics/13099|The completion of several genome projects, including the Human Genome Project, has further fostered a systems-based approach to biology. The goal is to determine how all the genes in a genome act and how their products interact to produce a functional organism. Proteomics seeks to identify and to characterize all the proteins synthesized in a cell or a tissue. Based on this information, one can then try to understand how individual proteins or protein collectives function within an organism. The first half of the course focuses on current methodology used to analyze and identify proteins. This includes protein electrophoresis, chromatography, mass spectrometry, and protein database analysis. The second half of the course focuses on case studies derived from the current scientific literature. This includes comparisons between healthy and diseased tissues, new approaches to analyze metabolic pathways, and the comprehensive analysis of protein-protein interactions in different cell types.|Fall Term 2016|On campus with online option|13099
BIOS E-45 Introduction to Genomics|Arezou Ghazani|http://extension.harvard.edu/academics/courses/introduction-genomics/23605|This course provides an overview of the genome and genomic architecture, genomic variations, and regulatory mechanisms of the genome. The course topics include current and novel practices in genome interrogations, global copy number variation assessment, genome sequencing, and data analysis. This course cultivates an understanding of functional genomics and genomic malfunction, genome-wide association studies, and the new field of personal genomics along with discussions of social and ethical impacts resulting from advances in genomics.|Spring Term 2017|On campus with online option|23605
BIOS E-50 Neurobiology|Laura Magnotti|http://extension.harvard.edu/academics/courses/neurobiology/13097|This course examines the structure and function of the mammalian nervous system by examining the molecules, cells, and circuits that are involved in directing our behavior. We explore how the nervous system is constructed during development, how it adapts with experience throughout life, how it functions in normal behavior, and how it can be disrupted by injury and disease.|Fall Term 2016|On campus only|13097
BIOS E-55 Developmental Biology|Susanne Jakob|http://extension.harvard.edu/academics/courses/developmental-biology/22959|Developmental biology studies the mechanisms involved in the development of complex organisms from the moment the egg is fertilized by a sperm. In many ways the basic understanding of developmental biology provides an invaluable foundation for other aspects of biology, as well as medicine, especially as many health issues can be related back to early developmental defects during embryogenesis. This course aims to provide a broad, comprehensive look at embryology with special emphasis on vertebrate models. We take a look at primary data that led to our current understanding of mechanisms involved in development and discuss classic experiments as well as more modern molecular and genetic approaches to answer questions in developmental biology. Over the length of the course we explore how the egg gets fertilized in the first place and subsequently travel the journey of the developing embryo: growing, forming organs, determining gender, making germ cells, and much more. We also talk about the role of embryonic and adult stem cells, the effects of the environment on development, and many more fascinating aspects of developmental biology.|Spring Term 2017|On campus only|22959
BIOS E-60 Immunology|Mihaela G. Gadjeva|http://extension.harvard.edu/academics/courses/immunology/23186|How does the immune system work? What are the molecular and cellular components and pathways that protect an organism from infectious agents or cancer?  This comprehensive course answers these questions as it explores the cells and molecules of the immune system. The topics discussed during the first half of the course cover  the structure, function, and genetics of the molecules of the immune system, including antibodies, B- and T-cell receptors, major histocompatibility complex (MHC) proteins and cytokines; and processes of lymphocyte development and antigen presentation. During the second half of the course the lectures focus on how the individual components of the immune system work together to fight bacterial, fungal, or viral infections. In addition, basic concepts of tumor immunity, immune system deficiencies, AIDS, and autoimmunity are examined. The course emphasizes the research and development opportunities for therapeutic intervention arising from recent advances in immunology (for example, the application of therapeutic antibodies and recombinant molecules as potential drug treatments). Upon completion of the course students have a sound understanding of the essential elements of the immune system, preparing them to engage further in this rapidly evolving field.|Spring Term 2017|On campus with online option|23186
BIOS E-65C Human Anatomy and Physiology I|Jennifer A. Carr|http://extension.harvard.edu/academics/courses/human-anatomy-physiology-i/13387|This course is an introduction to human anatomy and physiology from an integrative perspective. Students learn the structure and function of the tissues, the skeletal system, the nervous system, the endocrine system, and muscle function from the level of the cell to the level of the organism.|Fall Term 2016|On campus only|13387
BIOS E-65D Human Anatomy and Physiology II|Jennifer A. Carr|http://extension.harvard.edu/academics/courses/human-anatomy-physiology-ii/23232|This course is a continuation of BIOS E-65c. Students learn the structure and function of the cardiovascular system, the lymphatic system, the immune system, the respiratory system, the digestive system, the urogenital system, and the reproductive system from the level of the cell to the level of the organism.|Spring Term 2017|On campus only|23232
