course_name|url|level|description
Intro to Programming Nanodegree|https://www.udacity.com/course/intro-to-programming-nanodegree--nd000|Beginner|Udacity's Intro to Programming is your first step towards careers in Web and App Development, Machine Learning, Data Science, AI, and more! This program is perfect for beginners.
VR Developer Nanodegree|https://www.udacity.com/course/vr-developer-nanodegree--nd017|Intermediate|Master the latest tools and technologies, and put your tech skills to work in the exciting field of VR! Learn from industry experts like Google, Unity, and HTC, and become a Virtual Reality Developer.
Robotics Nanodegree|https://www.udacity.com/course/robotics-nanodegree--nd209|Advanced|Master skills with hands-on projects in simulated environments and on real hardware. Change our world for the better using robotics to extend our capabilities in new ways.
Digital Marketing Nanodegree|https://www.udacity.com/course/digital-marketing-nanodegree--nd018|Beginner|Gain real-world experience running live campaigns as you learn from top experts in the field. Launch your career with a 360-degree understanding of digital marketing.
Deep Learning Nanodegree Foundation|https://www.udacity.com/course/deep-learning-nanodegree-foundation--nd101|Intermediate|With Siraj Raval, Udacity provides a dynamic introduction to Deep Learning, using weekly videos, exclusive projects, and expert feedback to teach you the foundations of this future-shaping technology.
Artificial Intelligence Nanodegree|https://www.udacity.com/course/artificial-intelligence-nanodegree--nd889|Advanced|Learn skills and tools used by the most innovative AI teams, gain experience solving real-world challenges, and prepare for a wide variety of roles in the AI field.
Self-Driving Car Engineer Nanodegree|https://www.udacity.com/course/self-driving-car-engineer-nanodegree--nd013|Advanced|In this program, you’ll learn the skills and techniques used by self-driving car teams at the most advanced technology companies in the world.
Business Analyst Nanodegree|https://www.udacity.com/course/business-analyst-nanodegree--nd008|Beginner|Predictive analytics is the practice of determining patterns from data to predict future outcomes and trends. Across industries, it enables high-value solutions to important business problems.
Android Basics Nanodegree by Google|https://www.udacity.com/course/android-basics-nanodegree-by-google--nd803|Beginner|Get a solid grasp on the basics of foundational programming skills used in creating mobile apps
Machine Learning Engineer Nanodegree|https://www.udacity.com/course/machine-learning-engineer-nanodegree--nd009|Advanced|Become a machine learning engineer and apply predictive models to massive data sets in fields like education, finance, healthcare or robotics.
